TS-DDR,TS-LDR,SDDP-DCLL,SDDP-SOC,TS-DDR (strict)
215.7865012983455,282.52479046838965,117.20362201093069,278.35828561341475,253.634969687372
208.9688074571684,270.8475139202375,109.91183630093335,268.7469595331369,245.5294693796638
200.25820568279497,268.14577165979705,102.18413675040794,256.9288932038997,235.13414146568158
189.3589474950667,274.8028403967962,94.29202902742942,246.23379738459545,225.55640475182324
179.11347981019935,269.33461930444184,86.51972305194262,235.28235566184617,215.37355080618886
166.46173064664583,261.0404132262943,77.8672879103141,222.9405685439762,203.81449685097138
154.36450314445943,258.2200123763158,69.45071513510558,209.73529860734234,191.70728842690482
142.61948735542381,250.57594722312155,61.04749888339048,197.4097594424145,179.63985165695263
130.39403275688142,237.56983972063503,53.57905190860542,183.16067786345798,166.84081909849618
118.09172135231981,232.9065992805976,45.31949038232733,167.08432725260056,153.4635393785389
107.2702477985387,215.22999411819978,37.242727577570335,153.20481806438926,140.99387306129591
97.0065973471623,205.80014155651824,28.961340379753675,140.27220558777037,129.00590608741652
84.6333338632984,192.9275305544331,20.748060187265494,128.88089859059698,115.79991834248376
74.44115642907373,175.65153529061962,13.951363389962466,115.32978413235291,102.11766760572887
65.89676047851572,159.63588608030236,9.971531743391353,102.90650396427401,88.89344582756674
59.101026640990746,157.6032563807769,5.649949808269948,91.77112364358631,76.09868001212048
50.4628042074048,151.14613237451394,2.8422167357923183,81.38224893770428,63.06719571114836
43.380434756627224,142.1297446607122,0.8089371675179539,69.40743842003496,50.21450504411685
37.2402039626919,131.15093810046022,-2.7757075579902497e-5,58.51697840372556,38.97364417660644
32.6377410503266,127.61272326799181,0.014576637404480192,49.72583740775145,28.915285549722427
29.407339371204802,122.7377666202245,0.020931438505678426,41.99241630483234,21.03021397587421
24.06393930942189,85.84155793018172,0.0062571966267834424,29.914239653894793,13.40218700173315
23.127901917898463,65.85303059430143,0.03619878202007641,21.935606087997716,9.268440492946311
22.924839043559988,62.40507538369134,0.23070127422069103,18.650205536148956,7.830520814578429
22.007801580404273,59.154416378847564,0.49709652305249996,16.31324545284173,6.1674695208565185
21.136620549198433,54.197233720503064,0.12869349623927082,12.457190721911122,3.809203547797979
19.031142363960612,38.14249299045677,0.2798932995958727,8.11780690376344,1.9133917353552115
17.40204173868524,30.7482859887398,0.6275685251939801,6.793617876065368,1.583261510930154
12.246953654446704,19.1380483634613,0.7553403609073082,6.373971458330337,1.2736466082355737
0.40074148030873114,1.9740202514084515,-2.7761152226093412e-5,4.45582104449006,0.8413817689226626
